Username,Posts,Followers,Following,Account Type
ronalldinho49,791,194000,266,None
afreen_siddiqui12,320,194000,5,None
pollywood.artist.zone,2108,195000,102,None
thesareequeenz,1792,198000,585,Fashion Model
thecaistore,1562,204000,260,Brand
the.bong.sundori,1929,205000,7458,Community
retromotive,1441,206000,1243,Cars
officialsoccermemes,4850,207000,384,None
__justfootball__,14488,212000,615,News & Media Website
fcb_footballl,5294,219000,114,Athlete
bikini.india,754,220000,231,None
imayeshakaur,524,221000,444,Artist
pakke_haryanavi,7168,230000,93,None
kollywood.media,285,231000,22,Media/News Company
official_niharica_raizada,57,232000,2002,Artist
utkarsha_raturi,845,233000,29,None
divyamistry0409,133,233000,517,Blogger
sl_racy,1473,234000,171,None
rashibhatnagar2017,1408,235000,316,None
raxvell_ink,1730,237000,12,Art Gallery
namita_dubey,452,240000,654,None
srkfandom1,1700,241000,1,None
ronaldo.fenomeno_,615,250000,47,None
one_by_two,1619,251000,256,Comedian
gitanjalisingh7,922,252000,457,Actor
teamshahrukhkhan,4818,252000,52,None
fcb.update,3011,260000,150,News Personality
pspriyasinghofficial_,499,261000,58,Public Figure
the_indian_web_series,2434,263000,263,News & Media Website
nationofthefearless,3084,263000,7,Community
theustraa,3495,269000,5,Shopping & Retail
thebackstagestories,603,272000,74,Blogger
sarcastic.ind,10133,274000,0,None
kamaal_ki_tanishq,1398,284000,300,Actor
barcaliveapp,4485,287000,32,Editorial/Opinion
jdm.auto,2370,289000,0,Cars
nikilalwani_27,277,297000,35,Artist
gulabi_queen__,1332,299000,84,None
arora_girl.2000,910,305000,10,Public Figure
7futbols,366,307000,551,None
bandidos_pitstop,3928,309000,6,Product/Service
amikashail,3144,309000,33,None
tashveensehgal,1028,311000,1550,Public Figure
ranjanagodara09,456,323000,64,Fashion Model
aimfit_anjali,331,325000,6,None
yoursudipa,740,328000,45,Fashion Model
successfulmaster,3178,329000,13,None
beyond_thoughtss,5562,335000,8,Media/News Company
the.anonymous.writer,3527,336000,12,None
24_over_gym,5953,337000,5432,Health/Beauty
